,time,accuracyScore
0,1,0.488910956637
1,2,0.509433962264
2,3,0.58076795763
3,4,0.607580271433
4,5,0.621648460775
5,6,0.647798742138
6,7,0.66153591526
7,8,0.672790466733
8,9,0.692154915591
9,10,0.69347898047
10,11,0.699221983115
11,12,0.714451249793
12,13,0.732284768212
13,14,0.743046357616
14,15,0.751614505713
15,16,0.75608544461
16,17,0.754432477216
17,18,0.781592039801
18,19,0.797476759628
19,20,0.795042422226
20,21,0.798661087866
21,22,0.802025139665
22,23,0.813100747597
23,24,0.815713251267
24,25,0.817945865777
25,26,0.824856596558
26,27,0.831947743468
27,28,0.823311367381
28,29,0.834275772075
29,30,0.826570832367
30,31,0.829335332334
31,32,0.82061799289
32,33,0.83017163505
33,34,0.818968386023
34,35,0.809276437848
35,36,0.8
36,37,0.792471042471
37,38,0.791318864775
38,39,0.77216828479
39,40,0.769581749049
40,41,0.773416592328
41,42,0.762711864407
42,43,0.734771573604
43,44,0.747320061256
44,45,0.684501845018
45,46,0.695555555556
46,47,0.70460704607
47,48,0.719594594595
48,49,0.634453781513
49,50,0.707070707071
50,51,0.569620253165
51,52,0.658914728682
52,53,0.64
53,54,0.530864197531
54,55,0.703125
55,56,0.685185185185
56,57,0.613636363636
57,58,0.470588235294
58,59,0.444444444444
59,60,0.454545454545
60,61,0.352941176471
61,62,0.428571428571
62,63,0.333333333333
