,goldTotal,goldDiff,champKills,killDiff,towerKills,towerDiff,inhibKills,inhibDiff,dragonKills,dragonDiff,baronKills,baronDiff,time
0,0.235436098616,0.517024106651,0.0452054129954,0.202334381737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.420448189124,0.543158684898,0.0104083881351,0.0259847378426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2,0.310836372247,0.579977951506,0.0303739249531,0.0788117512944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3,0.251965444275,0.405174314427,0.0384004945449,0.124459746753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4,0.211573361969,0.399504973909,0.0384484246799,0.140473239442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5,0.194435853252,0.437600685334,0.0629691343566,0.174939346309,0.0,0.0,0.0,0.0,8.49288872722e-06,4.64878596612e-05,0.0,0.0,6
6,0.189304818902,0.520725812568,0.0620588244505,0.20597188605,0.000264678575998,0.00017284460661,0.0,0.0,0.00786081533862,0.00364031950934,0.0,0.0,7
7,0.178968948314,0.513244745865,0.0516984224043,0.220456417431,0.0018678279512,0.0124204405185,0.0,0.0,0.00201960597618,0.00932359153962,0.0,0.0,8
8,0.182583599318,0.467780243204,0.0580766077295,0.239821421,0.00256982793415,0.00536043584506,0.0,0.0,0.00501476991463,0.00879309505492,0.0,0.0,9
9,0.165615261601,0.535788058343,0.04796636961,0.173839379556,0.00565697839966,0.0169587210115,0.0,0.0,0.0110710742279,0.0131041572512,0.0,0.0,10
10,0.148835655807,0.476051725755,0.0554407104581,0.219018046238,0.0107531152186,0.0228097378596,0.0,0.0,0.00824800341787,0.0188430052449,0.0,0.0,11
11,0.122687790049,0.482412477332,0.0469355926006,0.23022862494,0.0247336060448,0.0379887852812,0.0,0.0,0.0205895305875,0.0244235931652,0.0,0.0,12
12,0.122029059965,0.489779794389,0.0433103213554,0.211846850807,0.0143054029971,0.0511541427096,0.0,0.0,0.0129857232755,0.0245887045025,0.0,0.0,13
13,0.148691357636,0.422226382946,0.0361155900438,0.244029767776,0.0251003632626,0.0724145867811,0.0,0.0,0.0139351057492,0.0274868458051,0.0,0.0,14
14,0.151414558612,0.448163440814,0.0436663632043,0.176277316464,0.0291185925663,0.0911224581809,0.0,0.0,0.0247009041065,0.0255363660518,0.0,0.0,15
15,0.137703723098,0.380907172418,0.0239294242645,0.208183265166,0.0335639986406,0.104101572446,2.26877199831e-05,0.0,0.0148698085129,0.036718347733,0.0,0.0,16
16,0.145847404414,0.386307075385,0.024928070345,0.205358636433,0.0560978786968,0.131619173605,0.000118026753127,0.00058965724747,0.0151952020895,0.0339388750312,0.0,0.0,17
17,0.109067089663,0.402227377737,0.0348929196507,0.215677423462,0.0389268589468,0.14563143518,0.000329786839319,0.00024659273944,0.0124297424683,0.0405707733133,0.0,0.0,18
18,0.0940484357661,0.343421764336,0.0254474441252,0.271797109271,0.0645516895595,0.148157470924,0.000818928836375,0.000851646767726,0.0200739924003,0.0308315180141,0.0,0.0,19
19,0.114257159183,0.342958798749,0.0267726818559,0.23991951139,0.0612949208729,0.142889766256,0.000643815204692,0.00118036663137,0.0317143984378,0.0383685814199,0.0,0.0,20
20,0.128782248663,0.388875521031,0.0278387896095,0.16366974192,0.0572399173613,0.177878578124,0.00104338246223,0.00169933031589,0.0271695687561,0.0258029217566,0.0,0.0,21
21,0.120497110543,0.378432271287,0.0297441848823,0.18432689331,0.0639317947249,0.154152363972,0.0015279211666,0.00417000815749,0.0194980284675,0.0436925373781,5.6572432042e-06,2.12288680198e-05,22
22,0.0925573792693,0.364552021223,0.0243952775522,0.172271838963,0.0810028739981,0.185077741088,0.00268609801792,0.00461385364669,0.026368246271,0.0462914313149,3.53688844531e-05,0.000147869771604,23
23,0.0904720286735,0.38017835703,0.0271081899435,0.223053973399,0.0525474604627,0.147472824447,0.00176248982644,0.00604994573787,0.0356164949637,0.0354277565032,7.22196792673e-05,0.00023825933406,24
24,0.0738157308613,0.338652245873,0.0145789931205,0.209796699315,0.0778492748001,0.21162064311,0.00118444886391,0.00819896721187,0.0154743060745,0.0477297639901,0.000346446178739,0.000752480600322,25
25,0.0695028411926,0.341444118476,0.0298834063604,0.12838405167,0.0993342801453,0.256670296774,0.0038238196542,0.010280561666,0.023407868945,0.0351676472982,0.000370289631132,0.00173081818688,26
26,0.074933841574,0.353675714106,0.0116612726436,0.156081321424,0.0885593833279,0.226883154525,0.00251570745339,0.0125150664961,0.0181575832258,0.0508914255055,0.00131345133028,0.00281207838717,27
27,0.0711862590504,0.403654107942,0.00896881074382,0.147583313757,0.0931777819954,0.19942758651,0.0121190685384,0.0219941815389,0.0169918959058,0.0202506403539,0.00073082813436,0.00391552552981,28
