,time,accuracyScore
0,1,0.496193313472
1,2,0.513571665012
2,3,0.574147633234
3,4,0.594505130751
4,5,0.622972525654
5,6,0.633234028467
6,7,0.66103939093
7,8,0.667494207216
8,9,0.695961602119
9,10,0.691823899371
10,11,0.703691441814
11,12,0.72090713458
12,13,0.730463576159
13,14,0.744536423841
14,15,0.756582215599
15,16,0.75244245736
16,17,0.763545981773
17,18,0.781426202322
18,19,0.782370517928
19,20,0.792380635502
20,21,0.799330543933
21,22,0.80813547486
22,23,0.800284798861
23,24,0.805575669804
24,25,0.819985168706
25,26,0.81395793499
26,27,0.824425969913
27,28,0.826194398682
28,29,0.828186167899
29,30,0.830744261535
30,31,0.824087956022
31,32,0.821438337435
32,33,0.818428184282
33,34,0.825623960067
34,35,0.819666048237
35,36,0.804661016949
36,37,0.799227799228
37,38,0.770728992766
38,39,0.777346278317
39,40,0.784790874525
40,41,0.743086529884
41,42,0.743644067797
42,43,0.739847715736
43,44,0.718223583461
44,45,0.723247232472
45,46,0.748888888889
46,47,0.663956639566
47,48,0.709459459459
48,49,0.710084033613
49,50,0.606060606061
50,51,0.645569620253
51,52,0.604651162791
52,53,0.67
53,54,0.567901234568
54,55,0.625
55,56,0.62962962963
56,57,0.636363636364
57,58,0.470588235294
58,59,0.37037037037
59,60,0.454545454545
60,61,0.235294117647
61,62,0.428571428571
62,63,0.333333333333
